"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",13.902763,46.348295
1,"PRESENCE",14.588239,46.379336
1,"PRESENCE",14.543309,46.372746
1,"PRESENCE",14.535592,46.369036
1,"PRESENCE",14.536434,46.353518
1,"PRESENCE",14.587839,46.359104
1,"PRESENCE",13.742368,46.441856
1,"PRESENCE",13.739093,46.44286
1,"PRESENCE",13.6871,46.466508
1,"PRESENCE",13.776762,46.444937
1,"PRESENCE",13.74358,46.433617
1,"PRESENCE",13.841063,46.244728
1,"PRESENCE",11.136108,45.704422
1,"PRESENCE",11.13505,45.702733
1,"PRESENCE",11.132892,45.725003
1,"PRESENCE",14.646344,46.300678
1,"PRESENCE",14.646525,46.300734
1,"PRESENCE",11.730833,46.51972
1,"PRESENCE",11.726337,46.532233
1,"PRESENCE",11.823917,46.327864
1,"PRESENCE",11.802548,46.304247
1,"PRESENCE",11.710172,46.399054
1,"PRESENCE",11.447662,45.976578
1,"PRESENCE",10.194969,47.260361
1,"PRESENCE",11.999442,46.522533
1,"PRESENCE",11.986703,46.532182
1,"PRESENCE",11.848375,46.522605
1,"PRESENCE",11.848047,46.522458
1,"PRESENCE",11.848849,46.522594
1,"PRESENCE",12.805581,46.765431
1,"PRESENCE",12.803138,46.770965
1,"PRESENCE",12.770813,46.807755
1,"PRESENCE",12.793607,46.765286
1,"PRESENCE",12.795733,46.762853
1,"PRESENCE",11.845861,46.584454
1,"PRESENCE",14.205629,46.439087
1,"PRESENCE",14.388273,46.44302
1,"PRESENCE",14.194821,46.452419
1,"PRESENCE",12.518403,46.687862
1,"PRESENCE",11.041538,47.574912
1,"PRESENCE",11.003347,47.544155
1,"PRESENCE",11.041538,47.524902
1,"PRESENCE",11.036258,47.55518
1,"PRESENCE",11.618841,46.417064
1,"PRESENCE",11.635638,46.451732
1,"PRESENCE",11.611917,46.464726
1,"PRESENCE",12.296968,46.606655
1,"PRESENCE",12.287493,46.58535
1,"PRESENCE",12.310607,46.620929
1,"PRESENCE",12.315528,46.626335
1,"PRESENCE",12.312842,46.620645
1,"PRESENCE",11.604003,46.501577
1,"PRESENCE",11.636912,46.502083
1,"PRESENCE",14.739276,46.410187
1,"PRESENCE",12.139353,46.65287
1,"PRESENCE",12.163813,46.649088
1,"PRESENCE",11.833385,46.263398
1,"PRESENCE",11.901648,46.26027
1,"PRESENCE",11.83415,46.308009
1,"PRESENCE",12.050864,46.488367
1,"PRESENCE",12.047477,46.493445
1,"PRESENCE",13.784818,46.342034
1,"PRESENCE",13.795175,46.344712
1,"PRESENCE",14.76572,46.519114
1,"PRESENCE",14.755072,46.506538
1,"PRESENCE",11.81078,46.487427
1,"PRESENCE",11.81245,46.487668
1,"PRESENCE",11.86411,46.456004
1,"PRESENCE",11.852334,46.418724
1,"PRESENCE",12.105833,46.488889
1,"PRESENCE",12.2738,46.577583
1,"PRESENCE",12.741566,46.762466
1,"PRESENCE",12.74157,46.76247
1,"PRESENCE",12.86382,46.78362
1,"PRESENCE",10.874865,47.474906
1,"PRESENCE",10.958937,47.517283
1,"PRESENCE",10.958202,47.574909
1,"PRESENCE",10.958202,47.524906
1,"PRESENCE",11.00903,47.588943
1,"PRESENCE",12.880727,46.613943
1,"PRESENCE",11.281414,47.395443
1,"PRESENCE",14.522944,46.296286
1,"PRESENCE",14.537937,46.291292
1,"PRESENCE",14.526247,46.297174
1,"PRESENCE",12.135652,46.540471
1,"PRESENCE",12.610846,46.994682
1,"PRESENCE",10.062532,46.918262
1,"PRESENCE",13.321111,47.166667
1,"PRESENCE",13.04168,47.225
1,"PRESENCE",10.874866,47.574906
1,"PRESENCE",10.874866,47.524906
1,"PRESENCE",12.708252,47.674931
0,"ABSENCE",13.522373014092,49.5477460350865
0,"ABSENCE",17.3358278897167,45.8864279337315
0,"ABSENCE",7.39468677516704,48.1236072525621
0,"ABSENCE",16.7168202870626,46.3371930113612
0,"ABSENCE",8.16321468416927,45.7532985836227
0,"ABSENCE",7.85290777015845,46.0589272121942
0,"ABSENCE",11.9111089793242,43.9866460784555
0,"ABSENCE",13.4940637760927,48.494862742649
0,"ABSENCE",14.5491279340095,45.8585260716525
0,"ABSENCE",8.07968355230665,45.3210729274017
0,"ABSENCE",8.55467495721339,44.6073564760463
0,"ABSENCE",14.094871617457,45.1724108995451
0,"ABSENCE",9.76405376200995,46.3676645627756
0,"ABSENCE",16.2306548962155,46.6663158120629
0,"ABSENCE",7.75599678486811,46.3605474956933
0,"ABSENCE",9.21030257015562,47.3309251526778
0,"ABSENCE",8.65366452541114,44.6398799311188
